tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2024-04-18,2018,CAPITAL FEDERAL Nº 018,Ciudad Autónoma de Buenos Aires,Nacional,2024,20,PICK-UP,68,TOYOTA,CR,HILUX 4X4 DC SR 2.8 TDI 6 AT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1993,VENEZUELA,100,02,226
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2010-04-07,2025,CAPITAL FEDERAL Nº 025,Ciudad Autónoma de Buenos Aires,Importado,2010,04,RURAL 5 PTAS,158,DODGE,117,JOURNEY SXT 2.4,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1981,ARGENTINA,50,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2015-11-24,2037,CAPITAL FEDERAL Nº 037,Ciudad Autónoma de Buenos Aires,Protocolo 21,2015,30,FURGONETA,044,FIAT,810,NUEVO FIORINO 1.4 8V,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1999,No aplica,100,02,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2006-04-20,2038,CAPITAL FEDERAL Nº 038,Ciudad Autónoma de Buenos Aires,Nacional,2006,12,SEDAN 4 PUERTAS,53,VOLKSWAGEN,JB,POLO CLASSIC 1.6 31A,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1996,ARGENTINA,100,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2025-04-08,2050,CAPITAL FEDERAL Nº 050,Ciudad Autónoma de Buenos Aires,Nacional,2025,12,SEDAN 4 PUERTAS,37,RENAULT,5S,LOGAN LIFE 1.6,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1981,No aplica,100,02,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2018-07-27,2050,CAPITAL FEDERAL Nº 050,Ciudad Autónoma de Buenos Aires,Protocolo 21,2018,02,SEDAN 4 PUERTAS,130,TOYOTA,871,COROLLA XEI PACK 1.8 CVT,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,2015,No aplica,100,02,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2022-07-14,2050,CAPITAL FEDERAL Nº 050,Ciudad Autónoma de Buenos Aires,Nacional,2022,12,SEDAN 4 PUERTAS,37,RENAULT,3R,LOGAN PH2 LIFE 1.6,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1961,ARGENTINA,100,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2005-04-04,2061,CAPITAL FEDERAL Nº 061,Ciudad Autónoma de Buenos Aires,Nacional,2005,17,SEDAN 5 PTAS,08,CHEVROLET,BE,CORSA II 5P GL AA/DI GAS 1.8,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1993,PERU,100,02,222
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2007-06-05,2062,CAPITAL FEDERAL Nº 062,Ciudad Autónoma de Buenos Aires,Importado,2007,11,PICK UP,058,HYUNDAI,008,H 100,1,Privado,Jurídica,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No aplica,1998,No aplica,100,02,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2006-12-14,2064,CAPITAL FEDERAL Nº 064,Ciudad Autónoma de Buenos Aires,Nacional,2006,22,FURGON VIDRIADO C/AS,34,PEUGEOT,DT,PARTNER FURGON 1.9 D PLC CONFORT,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1988,PARAGUAY,100,02,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2002-05-09,2085,CAPITAL FEDERAL Nº 085,Ciudad Autónoma de Buenos Aires,Nacional,2002,12,SEDAN 4 PUERTAS,34,PEUGEOT,51,PARPAD2PLN2,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1973,ARGENTINA,100,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2005-01-06,2089,CAPITAL FEDERAL Nº 089,Ciudad Autónoma de Buenos Aires,Nacional,2004,12,SEDAN 4 PTAS,08,CHEVROLET,BD,CORSA CLASSIC 4P SUP,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1969,ARGENTINA,100,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2007-03-23,2092,CAPITAL FEDERAL Nº 092,Ciudad Autónoma de Buenos Aires,Protocolo 21,2007,05,SEDAN 5 PUERTAS,055,HONDA,A19,FIT LX,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,No identificado,1978,ARGENTINA,100,02,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2025-08-01,2013-10-01,2101,CAPITAL FEDERAL Nº 101,Ciudad Autónoma de Buenos Aires,Protocolo 21,2013,05,SEDAN 5 PUERTAS,024,CHEVROLET,617,ONIX 1.4 N LTZ,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Femenino,1981,ARGENTINA,100,02,200
